lat,lon,vwind,uwind,speed,wdir,gust
36.94144209314071,-109.9200181934827,0.77,1.05,1.3,227.20000000000002,1.3
36.94389204727471,-109.89225070756265,0.8300000000000001,1.32,1.55,231.5,1.55
36.94633743250898,-109.8644819670982,0.65,1.1300000000000001,1.31,234.10000000000002,1.31
36.9438673407403,-110.14522637482122,1.22,-1.32,1.79,126.30000000000001,2.6
36.94635413383668,-110.11746339318022,0.93,-0.71,1.17,136.1,2.12
36.94883635893834,-110.08969913827798,0.61,0.12,0.62,185.0,1.01
36.95131401585987,-110.06193361235582,1.08,0.6900000000000001,1.29,206.10000000000002,1.3900000000000001
36.953787104416215,-110.03416681765579,1.24,1.17,1.7,216.9,1.75
36.956255624422745,-110.00639875642062,0.74,1.6600000000000001,1.82,239.60000000000002,1.82
36.95871957569512,-109.97862943089353,0.37,1.73,1.77,251.60000000000002,1.77
36.961178958049445,-109.95085884331849,0.38,1.52,1.57,249.70000000000002,1.57
36.96363377130215,-109.92308699594004,0.79,1.3,1.52,232.5,1.52
36.96608401527,-109.89531389100334,0.8300000000000001,1.36,1.59,232.3,1.59
36.96852968977025,-109.86753953075423,0.84,1.1500000000000001,1.42,227.60000000000002,1.42
36.96605470441985,-110.14834137710447,1.46,-1.54,2.12,127.0,2.89
36.96854179161942,-110.12057278039825,2.0,-1.87,2.74,130.5,2.98
36.9710243102558,-110.09280290965147,0.5700000000000001,-0.07,0.58,166.3,1.43
36.97350226014372,-110.06503176710689,0.73,0.85,1.12,223.20000000000002,1.21
36.97597564109828,-110.03725935500776,0.42,0.87,0.97,237.8,1.18
36.97844445293492,-110.00948567559816,0.31,1.18,1.22,249.0,1.26
36.980908695469495,-109.98171073112263,-0.04,1.53,1.53,265.3,1.53
36.98336836851823,-109.95393452382653,0.17,1.56,1.57,257.3,1.57
36.98582347189764,-109.92615705595566,0.58,1.33,1.45,240.10000000000002,1.45
36.988274005424685,-109.89837832975658,0.81,1.37,1.6,233.0,1.6
36.99071996891668,-109.87059834747637,1.03,1.17,1.56,222.5,1.56
36.99072747019815,-110.12368344165696,1.48,-1.34,2.0,131.6,2.95
36.99321028209104,-110.09590795282298,0.6,-0.61,0.85,128.5,2.09
36.99568852466762,-110.06813119141253,0.0,0.0,0.0,0.0,1.25
36.99816219774312,-110.04035315967033,0.0,0.0,0.0,0.0,0.97
37.000631301133154,-110.01257385984164,-0.04,0.49,0.5,268.40000000000003,0.81
37.003095834653664,-109.98479329417248,-0.04,1.05,1.05,266.0,1.05
37.00555579812103,-109.95701146490946,0.15,1.06,1.08,255.5,1.08
37.0080111913519,-109.92922837429967,0.36,1.11,1.16,245.70000000000002,1.16
37.0104620141634,-109.90144402459103,0.77,1.1500000000000001,1.3800000000000001,229.8,1.3800000000000001
37.01290826637289,-109.87365841803195,0.99,0.97,1.3800000000000001,218.20000000000002,1.3800000000000001
37.01291116599905,-110.1267953777363,1.17,-1.71,2.07,117.9,3.43
37.015394270870104,-110.09901426857101,0.27,-1.72,1.74,92.7,3.5
37.01787280585749,-110.07123188605004,-0.43,-0.92,1.02,58.7,2.41
37.02034677077662,-110.04344823241944,-0.59,-0.21,0.63,13.0,1.3800000000000001
37.022816165443196,-110.01566330992577,-0.14,0.2,0.25,298.8,0.8
37.02528098967333,-109.98787712081635,-0.03,0.33,0.33,268.6,0.8200000000000001
37.027741243283465,-109.96008966733915,-0.03,0.63,0.63,266.3,1.04
37.030196926090454,-109.93230095174263,0.11,0.38,0.4,247.60000000000002,1.07
37.0326480379115,-109.90451097627594,0.49,0.68,0.8300000000000001,227.9,0.97
37.03509457856414,-109.87671974318899,0.91,0.5700000000000001,1.07,205.60000000000002,1.07
37.03509287544897,-110.12990858941679,1.07,-2.42,2.65,107.5,4.23
37.03757627301975,-110.10212185767487,-0.11,-2.97,2.97,81.5,5.05
37.04005510014007,-110.07433385179736,-0.74,-2.59,2.69,67.60000000000001,3.8200000000000003
37.0425293566254,-110.04654457403164,-0.37,-0.3,0.48,33.4,2.04
37.044999042291586,-110.0187540266257,-0.08,0.06,0.1,315.1,1.33
37.04746415695486,-109.99096221182816,-0.23,0.02,0.23,347.70000000000005,1.43
37.049924700431866,-109.96316913188825,-0.35000000000000003,-0.24,0.42,27.6,1.77
37.05238067253951,-109.93537478905583,-0.38,-0.58,0.7000000000000001,50.800000000000004,1.75
37.054832073095184,-109.90757918558135,0.17,0.02,0.17,182.0,1.04
37.05727890191657,-109.87978232371603,0.6900000000000001,0.05,0.6900000000000001,178.3,0.6900000000000001
37.05972115882169,-109.85198420571156,1.05,-0.9500000000000001,1.42,131.8,1.61
37.05727259497546,-110.13302307747968,0.92,-3.16,3.29,99.9,5.22
37.059756284967506,-110.10523072091434,0.1,-3.48,3.48,85.2,5.73
37.0622354039427,-110.07743708943296,0.1,-1.75,1.75,86.9,3.99
37.064709951716694,-110.04964218528418,-0.03,-0.15,0.15,70.3,2.2
37.067179928105496,-110.0218460107174,-0.01,-0.03,0.03,57.400000000000006,1.93
37.06964533292543,-109.99404856798245,-0.55,-0.87,1.03,51.7,2.59
37.07210616599327,-109.96624985932998,-1.34,-1.7,2.16,45.400000000000006,3.12
37.07456242712608,-109.93844988701113,-1.41,-1.79,2.2800000000000002,45.5,2.8000000000000003
37.07701411614132,-109.91064865327773,-0.36,-1.16,1.22,66.4,1.54
37.07946123285682,-109.88284616038229,0.91,-0.34,0.97,153.20000000000002,0.97
37.08190377709083,-109.85504241057788,1.31,-1.16,1.75,132.20000000000002,1.75
37.07945032100687,-110.1361388427067,0.9500000000000001,-3.66,3.7800000000000002,98.10000000000001,5.9
37.081934303141566,-110.10834085906993,0.32,-3.95,3.96,88.2,6.16
37.08441371369355,-110.08054159973602,0.1,-2.25,2.2600000000000002,86.2,4.3500000000000005
37.08688855247863,-110.05274106695495,-0.23,-0.41000000000000003,0.47000000000000003,54.6,2.68
37.08935881931291,-110.02493926297731,-0.5,-0.74,0.9,49.7,2.9
37.09182451401287,-109.99713619005443,-1.28,-1.56,2.0100000000000002,44.300000000000004,3.87
37.09428563639541,-109.96933185043814,-1.82,-2.12,2.79,42.900000000000006,4.21
37.09674218627776,-109.94152624638104,-1.9100000000000001,-1.95,2.73,39.400000000000006,3.5100000000000002
37.099194163477456,-109.91371938013629,-1.27,-1.03,1.6400000000000001,32.6,2.0100000000000002
37.10164156781253,-109.88591125395764,0.6,-0.4,0.72,140.3,0.77
37.10408439910127,-109.85810187009955,1.12,-0.91,1.44,134.70000000000002,1.44
37.10162604997232,-110.13925588588036,0.73,-3.89,3.96,94.30000000000001,6.45
37.10411032397094,-110.11145227292285,0.09,-4.69,4.69,84.7,6.96
37.10659002582151,-110.08364738348637,-0.35000000000000003,-3.25,3.27,77.5,5.71
37.10906515533997,-110.05584121982233,-0.99,-1.86,2.11,55.6,4.42
37.111535712342516,-110.02803378418261,-1.27,-2.19,2.5300000000000002,53.6,4.32
37.11400169664582,-110.00022507881982,-1.54,-2.49,2.92,52.0,4.65
37.11646310806687,-109.97241510598727,-1.55,-2.52,2.96,52.1,4.42
37.118919946423006,-109.94460386793875,-1.35,-1.85,2.29,47.6,3.39
37.12137221153196,-109.91679136692883,-0.97,-0.96,1.37,38.400000000000006,1.9000000000000001
